,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
0,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
1,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
2,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
3,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
4,Mohamed Bamba,C,-,-,-,-,-,-
5,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
6,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
7,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
8,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
9,Miles Bridges,SF,-,-,-,-,-,-
10,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
11,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
12,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
13,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
14,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
15,Wendell Carter,C-PF,-,-,-,-,-,-
16,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
17,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
18,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
19,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
20,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
21,Keenan Evans,PG,-,-,-,-,-,-
22,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
23,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
24,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
25,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
26,Isaac Haas,C,-,-,-,-,-,-
27,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
28,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
29,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
30,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
31,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
32,Jaren Jackson,PF-C,-,-,-,-,-,-
33,Justin Jackson,PF,-,-,-,-,-,-
34,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
35,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
36,Kevin Knox,SF,-,-,-,-,-,-
37,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
38,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
39,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
40,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
41,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
42,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
43,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
44,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
45,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
46,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
47,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
48,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
49,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
50,Michael Porter,SF-PF,-,-,-,-,-,-
51,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
52,Jerome Robinson,SG,-,-,-,-,-,-
53,Collin Sexton,PG,-,-,-,-,-,-
54,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
55,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
56,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
57,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
58,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
59,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
60,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
61,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
62,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
63,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
64,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
65,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
66,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
67,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
68,Trae Young,PG,-,-,-,-,-,-
69,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
70,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
71,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
72,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
73,Mohamed Bamba,C,-,-,-,-,-,-
74,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
75,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
76,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
77,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
78,Miles Bridges,SF,-,-,-,-,-,-
79,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
80,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
81,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
82,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
83,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
84,Wendell Carter,C-PF,-,-,-,-,-,-
85,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
86,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
87,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
88,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
89,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
90,Keenan Evans,PG,-,-,-,-,-,-
91,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
92,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
93,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
94,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
95,Isaac Haas,C,-,-,-,-,-,-
96,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
97,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
98,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
99,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
100,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
101,Jaren Jackson,PF-C,-,-,-,-,-,-
