,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season
0,Washington,25.0,25.0,35.7,8.4,17.6,0.47600000000000003,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,2.5,3.2,23.2,https://www.sports-reference.com/cbb/players/markelle-fultz-1.html,Drafted,2016-17
1,UCLA,36.0,36.0,35.1,5.3,9.5,0.551,2.2,5.4,0.41200000000000003,1.8,2.7,0.6729999999999999,0.9,5.1,6.0,7.6,1.8,0.8,1.8,2.5,14.6,https://www.sports-reference.com/cbb/players/lonzo-ball-1.html,Drafted,2016-17
2,Duke,29.0,27.0,33.3,5.7,12.6,0.452,1.4,4.0,0.342,4.1,4.8,0.8490000000000001,1.3,6.0,7.3,2.1,1.3,1.1,3.0,2.6,16.8,https://www.sports-reference.com/cbb/players/jayson-tatum-1.html,Drafted,2016-17
3,Kansas,35.0,35.0,30.8,6.3,12.3,0.513,1.0,2.6,0.37799999999999995,2.8,4.9,0.5660000000000001,2.3,5.1,7.4,3.0,1.7,1.1,3.0,2.8,16.3,https://www.sports-reference.com/cbb/players/josh-jackson-2.html,Drafted,2016-17
4,Kentucky,36.0,34.0,29.6,5.9,12.4,0.479,0.5,1.9,0.24600000000000002,4.3,5.9,0.736,0.6,3.4,4.0,4.6,1.5,0.2,2.5,2.4,16.7,https://www.sports-reference.com/cbb/players/deaaron-fox-1.html,Drafted,2016-17
5,Florida State,32.0,32.0,26.2,4.1,8.0,0.508,1.0,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,2.2,1.5,12.0,https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html,Drafted,2016-17
6,Arizona,37.0,37.0,30.8,5.0,10.2,0.49200000000000005,1.9,4.4,0.423,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,2.0,1.1,15.6,https://www.sports-reference.com/cbb/players/lauri-markkanen-1.html,Drafted,2016-17
7,NC State,32.0,32.0,34.8,6.0,13.1,0.455,1.7,4.8,0.359,4.5,6.3,0.715,0.8,3.8,4.6,6.2,1.9,0.4,2.1,3.4,18.1,https://www.sports-reference.com/cbb/players/dennis-smithjr-1.html,Drafted,2016-17
8,Duke,36.0,11.0,26.7,3.9,9.3,0.42100000000000004,1.5,4.8,0.32,2.4,2.8,0.889,1.0,2.6,3.6,1.5,0.9,0.2,1.9,0.8,11.8,https://www.sports-reference.com/cbb/players/luke-kennard-1.html,Drafted,2015-16
9,Duke,37.0,36.0,35.5,6.4,13.1,0.489,2.4,5.4,0.43799999999999994,4.3,5.1,0.856,1.2,3.9,5.1,2.5,0.8,0.4,2.2,1.6,19.5,https://www.sports-reference.com/cbb/players/luke-kennard-1.html,Drafted,2016-17
10,Louisville,31.0,5.0,19.1,2.7,6.1,0.442,0.6,2.3,0.25,1.4,1.8,0.754,1.1,2.3,3.4,1.7,0.8,0.1,2.5,1.0,7.4,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,Drafted,2015-16
11,Louisville,34.0,33.0,32.3,5.3,13.1,0.408,2.4,6.6,0.354,2.6,3.2,0.8059999999999999,1.1,3.8,4.9,2.7,2.1,0.5,2.6,1.6,15.6,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,Drafted,2016-17
12,Kentucky,38.0,38.0,30.1,4.5,7.5,0.599,0.0,0.0,,4.1,6.2,0.653,3.1,4.9,8.0,0.8,0.7,1.5,2.6,1.7,13.0,https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,Drafted,2016-17
13,Creighton,35.0,34.0,25.3,5.7,8.5,0.6759999999999999,0.2,0.4,0.5329999999999999,1.3,2.5,0.517,1.7,4.5,6.2,1.2,0.9,1.4,2.7,1.7,12.9,https://www.sports-reference.com/cbb/players/justin-patton-1.html,Drafted,2016-17
14,Michigan,5.0,0.0,4.8,0.2,0.8,0.25,0.0,0.2,0.0,0.0,0.0,,0.2,1.0,1.2,0.0,0.0,0.6,0.8,0.2,0.4,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,Drafted,2014-15
15,Michigan,26.0,0.0,6.1,1.0,2.2,0.474,0.3,0.9,0.33299999999999996,0.3,0.4,0.727,0.2,0.5,0.7,0.3,0.2,0.4,0.8,0.3,2.7,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,Drafted,2015-16
16,Michigan,38.0,36.0,30.4,4.3,8.0,0.5379999999999999,1.1,2.9,0.373,1.3,1.6,0.833,1.5,3.8,5.3,1.3,0.5,1.5,1.9,1.1,11.0,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,Drafted,2016-17
17,UCLA,35.0,35.0,29.9,6.7,10.9,0.617,0.8,1.7,0.466,2.1,3.0,0.679,2.2,6.0,8.2,2.4,0.6,1.1,2.5,1.5,16.3,https://www.sports-reference.com/cbb/players/tj-leaf-1.html,Drafted,2016-17
18,Wake Forest,31.0,1.0,14.4,2.6,4.8,0.547,0.0,0.0,,2.1,3.0,0.691,1.7,2.3,3.9,0.2,0.3,0.7,2.6,1.0,7.3,https://www.sports-reference.com/cbb/players/john-collins-1.html,Drafted,2015-16
19,Wake Forest,33.0,33.0,26.6,7.1,11.4,0.622,0.0,0.0,0.0,5.0,6.7,0.745,3.8,6.1,9.8,0.5,0.6,1.6,3.0,1.8,19.2,https://www.sports-reference.com/cbb/players/john-collins-1.html,Drafted,2016-17
20,Duke,26.0,6.0,11.5,1.7,3.0,0.5770000000000001,0.0,0.0,,0.5,0.9,0.5,1.6,2.3,3.8,0.3,0.3,0.7,2.2,0.7,3.9,https://www.sports-reference.com/cbb/players/harry-giles-1.html,Drafted,2016-17
21,Texas,33.0,33.0,32.2,5.4,9.6,0.5660000000000001,0.0,0.2,0.0,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.1,2.5,13.4,https://www.sports-reference.com/cbb/players/jarrett-allen-1.html,Drafted,2016-17
