,PLAYER,POS,Off DribbleCollegeBreak Left,Off DribbleCollegeBreak Right,Off DribbleCollegeTop Key,Off DribbleFifteenBreak Left,Off DribbleFifteenBreak Right,Off DribbleFifteenTop Key,On TheMoveCollege,On TheMoveFifteen
0,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
1,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
2,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
3,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
4,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
5,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
6,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
7,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
8,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
9,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
10,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
11,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
12,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
13,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
14,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
15,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
16,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
17,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
18,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
19,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
20,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
21,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
22,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
23,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
24,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
25,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
26,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
27,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
28,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
29,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
30,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
31,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
32,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
33,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
34,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
35,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
36,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
37,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
38,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
