,Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
0,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
1,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
2,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
3,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
4,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
5,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
6,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
7,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
8,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
9,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
10,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
11,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
12,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
13,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
14,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
15,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
16,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
17,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
18,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
19,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
20,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
21,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
22,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
23,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
24,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
25,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
26,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
27,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
28,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
29,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
30,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
