,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
690,Vanderbilt,34,5,15.6,1.6,3.3,0.5,0.1,0.5,0.278,0.5,1.2,0.429,1.6,2.2,3.8,0.7,0.6,0.1,1.6,0.6,4,https://www.sports-reference.com/cbb/players/demarre-carroll-1.html,Drafted,2004-05,1/1/2004,1/1/2005
694,Auburn,31,31,35.6,5.8,13.6,0.424,2,5.4,0.373,3.4,4.3,0.789,0.8,4.5,5.3,1.8,1.4,0.1,2.5,2.5,16.9,https://www.sports-reference.com/cbb/players/toney-douglas-1.html,Drafted,2004-05,1/1/2004,1/1/2005
1287,Washington State,27,0,11.5,1.4,4.8,0.292,1,3.4,0.308,0.1,0.2,0.333,0.2,1.1,1.4,0.5,0.3,0.1,1,0.6,3.9,https://basketball.realgm.com/player/Josh-Akognon/NCAA/2578/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1307,Seton Hall,18,0,5.6,0.1,0.4,0.25,0,0,0,0.2,0.2,1,0.5,0.6,1.1,0.1,0,0.4,1.1,0.1,0.4,https://basketball.realgm.com/player/Marcus-Cousin/NCAA/1758/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1315,Boston University,29,1,15.6,1.1,3.3,0.33,0.1,0.9,0.16,0.7,1.3,0.553,0.8,2,2.9,1,0.6,0.8,1.1,0.9,3.1,https://basketball.realgm.com/player/Tony-Gaffney/NCAA/1789/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1330,St. John's,27,23,24.4,1.5,4.4,0.339,0.3,1.4,0.231,0.9,1.3,0.657,1.4,2.2,3.6,1.7,1.8,0.2,2.9,1.3,4.1,https://basketball.realgm.com/player/Cedric-Jackson/NCAA/5665/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1384,Pepperdine,31,7,14.1,1.5,2.5,0.603,0,0,0,0.8,1.3,0.65,1.3,1.8,3,0.4,0.4,1.5,2.5,0.6,3.9,https://basketball.realgm.com/player/Russell-Hicks/NCAA/8457/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1422,Portland,30,1,23.6,3.9,7.9,0.487,0,0,0,1.4,3.1,0.441,2.2,3.4,5.6,1,0.4,0.5,2.4,1.7,9.1,https://basketball.realgm.com/player/Marcus-Lewis/NCAA/8503/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
620,Syracuse,20,0,8,1,2.7,0.377,0.8,2.3,0.326,0.2,0.3,0.5,0.3,0.6,0.9,0.7,0.3,0.1,1.2,0.2,2.9,https://www.sports-reference.com/cbb/players/andy-rautins-1.html,Drafted,2005-06,1/1/2005,1/1/2006
665,Louisville,33,21,25.1,3.2,8.1,0.391,1.2,3.9,0.31,0.9,1.5,0.612,1,3.7,4.7,2.1,1,0.3,1.8,1.7,8.4,https://www.sports-reference.com/cbb/players/terrence-williams-1.html,Drafted,2005-06,1/1/2005,1/1/2006
682,UCLA,39,2,19.2,2,5,0.402,0.5,1.5,0.328,1,1.3,0.784,0.4,1.4,1.8,2.3,0.9,0.1,1.4,2,5.5,https://www.sports-reference.com/cbb/players/darren-collison-1.html,Drafted,2005-06,1/1/2005,1/1/2006
691,Vanderbilt,30,16,29.1,4.5,8.8,0.511,0.1,0.6,0.176,1.7,2.9,0.605,2.7,3.6,6.4,2,1.2,0.4,2.7,1.8,10.8,https://www.sports-reference.com/cbb/players/demarre-carroll-1.html,Drafted,2005-06,1/1/2005,1/1/2006
698,Arizona State,27,22,25.5,4.3,8.6,0.494,0,0.1,0,2.4,3.3,0.73,2.1,4,6.1,0.6,0.4,0.9,3.4,1.9,10.9,https://www.sports-reference.com/cbb/players/jeff-pendergraph-1.html,Drafted,2005-06,1/1/2005,1/1/2006
702,Villanova,33,4,19.1,0.9,1.9,0.468,0,0,,0.4,1,0.394,1.8,2.2,4,0.8,0.8,0.6,2.4,0.8,2.2,https://www.sports-reference.com/cbb/players/dante-cunningham-1.html,Drafted,2005-06,1/1/2005,1/1/2006
